Population,Generation,Stage,Size,Weight,MMR,SMR,Temperature,Chamber
HTC4,4,1,s,0.107,0.371020757,0.096138188,H,1
HTC4,4,1,s,0.134,0.511959966,0.070716575,H,2
HTC4,4,1,s,0.216,0.561101811,0.115920163,H,3
HTC4,4,1,m,0.392,1.343631849,0.183310846,H,4
HTC4,4,1,m,0.49,1.225550794,0.277589145,H,5
HTC5,4,2,m,0.323,0.683927998,0.134704016,H,1
HTC5,4,2,m,0.357,0.557216084,0.115271311,H,2
HTC5,4,2,l,0.579,1.701105318,0.156621638,H,3
HTC5,4,2,l,0.697,0.389548677,0.218282734,H,4
HTC5,4,2,l,0.799,1.330449898,0.206390396,H,5
HTC4,4,2,m,0.476,1.205375483,0.072665485,H,1
HTC4,4,2,m,0.515,0.962023921,0.228261932,H,2
HTC4,4,2,m,0.545,1.447303217,0.194278625,H,3
HTC4,4,2,l,0.606,1.50418527,0.257909205,H,4
HTC4,4,2,l,0.786,1.613457487,0.264595936,H,5
LTC1,4,3,l,0.646,0.766047211,0.121579084,L,1
LTC1,4,3,l,0.641,1.428931489,0.115252214,L,2
LTC1,4,3,l,0.67,1.226962787,0.195581727,L,3
LTC1,4,3,l,0.758,1.839974848,0.17295189,L,4
LTC1,4,3,l,0.859,2.120370112,0.280558219,L,5
LTC3,4,3,m,0.583,1.404454598,0.198694729,L,6
LTC3,4,3,l,0.838,1.644923524,0.220692614,L,9
LTC3,4,3,l,0.91,1.590309169,0.334207168,L,10
LTC3,4,3,l,0.967,1.362207948,0.246265213,L,11
LTC3,4,3,l,1.166,2.602472987,0.357513494,L,12
