Compa No.,Population,Temperature,Generation,Weight,Length,Stage
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,35,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,36,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
